20.9797,21.006,21.4909,21.1718,21.0538
21.8852,21.263,21.7532,21.2878,21.7971
21.9123,21.8202,22.2535,22.0504,22.3036
22.166,22.3346,22.46,22.1727,22.1374
22.7886,23.1574,22.7213,22.8777,23.2071
23.2119,23.2795,23.0066,22.8243,22.8537
23.3591,23.54,23.5277,26.1036,23.6291
23.9021,26.2618,24.2115,23.8844,28.2155

20.8467,20.8764,20.984,21.0245,20.9878
21.3445,21.4848,21.4491,21.3373,21.2219
21.6697,21.6225,21.8397,21.7941,21.7549
22.0514,21.7796,21.9837,21.9304,21.8475
22.2978,22.2287,22.3287,21.7056,22.3086
22.3374,22.3823,22.7051,22.2721,22.6306
22.8357,22.7181,23.0611,24.8132,22.8245
23.4764,27.7889,23.5723,23.4603,23.4622

24.5927,24.2728,24.0686,24.5771,24.8532
24.4734,24.2556,24.3571,24.0707,24.2342
24.6605,24.1075,24.1877,23.5645,24.3907
24.2518,23.9353,24.2424,23.6851,24.0821
24.0761,23.9016,24.3881,23.9671,23.886

24.4164,24.1424,24.1636,24.034,24.1534
23.8709,23.7492,23.3599,23.0706,23.4416
23.2962,23.2913,23.6541,22.8993,23.0312
23.4176,23.3158,23.47,23.3254,22.8917
22.9695,23.582,23.2257,22.7076,22.6604
